Firma;Stitz Registergericht;Bundesland;Branchencode (1);Bilanzsumme;Anzahl MA;fixe Quote;Mitgliederzahl Aufsichtsrat;Davon Frauen;Boersennotiert
DEVK Deutsche Eisenbahn Versicherung Sach- und HUK-Versicherungsverein a.G. Betriebliche Sozialeinrichtung der Deutschen Bahn;Köln;NW;65.1;13571981747;3854;nein;12;2;0
Die Sparkasse Bremen AG;Bremen;HB;64.19;0;0;nein;9;2;0
Diehl Aerospace GmbH;Überlingen;BW;46.69.1;0;0;nein;6;0;0
Diehl Aviation Hamburg GmbH;Hamburg;HH;30. Mrz;0;0;nein;0;0;0
DKD HELIOS Klinik Wiesbaden GmbH;Wiesbaden;HE;70.1;0;0;nein;0;0;0
DMG MORI AKTIENGESELLSCHAFT;Bielefeld;NW;64.20;2241298000;6637;ja;12;1;
DNV GL SE;Hamburg;HH;71.20;0;0;nein;6;0;0
Doduco Contacts and Refining GmbH;Pforzheim;BW;20.59.0;0;0;nein;0;0;0
Donaldson Filtration Deutschland GmbH;Haan;NW;28.93;0;0;nein;0;0;0
Dortmunder Energie- und Wasserversorgung Gesellschaft mit beschränkter Haftung;Dortmund;NW;35;999061000;1073;nein;18;5;0
Dortmunder Stadtwerke Aktiengesellschaft;Dortmund;NW;35;3183431000;3630;nein;20;4;0
Douglas GmbH;Düsseldorf;NW;46.45.0;0;0;nein;12;6;0
Dow Olefinverbund GmbH;Schkopau;ST;20.59;79940000000;0;nein;12;4;0
Dr. Hönle Aktiengesellschaft;Gräfelfing;BY;28.99.0;125523000;618;nein;3;0;1
Dr. Johannes Heidenhain Gesellschaft mit beschränkter Haftung;Traunreut;BY;46.69.2;2046467304;7915;nein;12;2;0
Dr. Rehfeld Fashion Aktiengesellschaft;Hamburg;HH;64.20;155844653;3570;nein;3;0;0
Drees & Sommer SE;Stuttgart;BW;64.20;161686524;2639;nein;6;1;0
Dresdner Kühlanlagenbau GmbH;Dresden;SN;28.99;0;0;nein;0;0;0
Dresdner Verkehrsbetriebe Aktiengesellschaft;Dresden;SN;49.31;0;0;nein;20;3;0
DREWAG - Stadtwerke Dresden GmbH;Dresden;SN;35;0;0;nein;18;4;0
DREWAG NETZ GmbH;Dresden;SN;35;0;0;nein;3;1;0
DSGF Deutsche Servicegesellschaft für Finanzdienstleister mbH;Köln;NW;64.99;0;0;nein;15;1;0
DSM Nutritional Products GmbH;Grenzach-Wyhlen;BW;10.89.0;0;0;nein;6;0;0
Duisburger Verkehrsgesellschaft Aktiengesellschaft;Duisburg;NW;49.31.0;0;0;nein;15;1;0
Duisburger Versorgungs- und Verkehrsgesellschaft mit beschränkter Haftung;Duisburg;NW;35;1033735033;4166;nein;20;6;0
Düker GmbH;Karlstadt;BY;28.29.0;0;0;nein;6;0;0
Duni GmbH;Bramsche;NI;17. Jan;0;0;nein;3;0;0
DuPont de Nemours (Deutschland) GmbH;Neu-Isenburg;HE;46.90.3;0;0;nein;6;0;0
Duravit Aktiengesellschaft;Hornberg;BW;23.42;349012419;6452;nein;6;1;0
Dürkopp Adler AG;Bielefeld;NW;28.29;172087000;1409;nein;6;2;1
Dürr Aktiengesellschaft;Stuttgart;BW;28;3411758000;8205;ja;12;1;
DVB Bank SE;Frankfurt am Main;HE;64.1;23344300000;636;nein;9;2;0
DXC Technology Deutschland GmbH;Bad Homburg v. d. Höhe;HE;72.19;33921000000;0;nein;12;6;0
Dyckerhoff GmbH;Wiesbaden;HE;08. Sep;2852126000;10157;nein;6;1;0
DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main;Frankfurt am Main;HE;64.19.3;5,06E+11;30279;nein;20;4;0
DZ HYP AG;Hamburg und Münster;HH;64.19.4;0;0;nein;18;4;0
E-Plus Service GmbH;Düsseldorf;NW;61;0;0;nein;6;2;0
e.dialog Netz GmbH;Potsdam;BR;82.91.1;0;0;nein;9;3;0
E.DIS AG;Fürstenwalde/Spree;BR;27. Dez;0;0;nein;20;4;0
e.kundenservice Netz GmbH;Hamburg;HH;82.99;0;0;nein;12;2;0
E.ON Energie Deutschland GmbH;München;BY;35.1;0;0;nein;6;1;0
E.ON Energie Dialog GmbH;Potsdam;BR;96.09;0;0;nein;6;1;0
E.ON SE;Düsseldorf;NW;35;55950000000;42657;ja;12;2;
Eaton Germany GmbH;Baden-Baden;BW;71.12.2;0;0;nein;3;1;0
Eaton Industries GmbH;Bonn;NW;71.12.2;0;0;nein;6;1;0
ebm-papst Landshut GmbH;Landshut;BY;28.29;0;0;nein;0;0;0
Eckert & Ziegler Strahlen- und Medizintechnik AG;Berlin;BE;70.10.9;216987000;760;nein;6;1;1
