Firma;Stitz Registergericht;Bundesland;Branchencode (1);Bilanzsumme;Anzahl MA;fixe Quote;Mitgliederzahl Aufsichtsrat;Davon Frauen;Boersennotiert
Lear Corporation GmbH;Ginsheim-Gustavsburg;HE;46.72;0;0;nein;12;3;0
Lechwerke AG;Augsburg;BY;35.11;0;1803;nein;9;1;0
LEDVANCE GmbH;Garching bei München;BY;71.12.2;1211200000;7315;nein;12;3;0
LEG Immobilien AG;Düsseldorf;NW;70.10.9;11194200000;1314;nein;6;1;1
LEG Wohnen NRW GmbH;Düsseldorf;NW;68.32;0;0;nein;6;1;0
Leica Camera Aktiengesellschaft;Wetzlar;HE;26. Jul;461054000;2021;nein;6;1;0
Leica Microsystems CMS GmbH;Wetzlar;HE;26.51.1;0;0;nein;3;0;0
LEIPA Georg Leinfelder GmbH;Schwedt/Oder;BR;17;0;0;nein;3;0;0
LEIPA Group GmbH;Schwedt/Oder;BR;70.10.1;439238999;1445;nein;6;1;0
Leipziger Verkehrsbetriebe (LVB) Gesellschaft mit beschränkter Haftung;Leipzig;SN;49.31.0;0;0;nein;20;5;0
Lenze SE (Societas Europaea);Aerzen;NI;70.10.1;466320000;3394;nein;6;0;0
LEONI AG;Nürnberg;BY;46.90.2;3126310000;83471;ja;12;2;
LEW Verteilnetz GmbH;Augsburg;BY;27.90;0;0;nein;6;1;0
LEWA GmbH;Leonberg;BW;46.69.2;0;0;nein;6;0;0
Liebherr-Aerospace Lindenberg GmbH;Lindenberg/Allgäu;BY;30. Mrz;12661000000;42308;nein;3;0;0
Liebherr-Components Biberach GmbH;Biberach an der Riß;BW;28.15;0;0;nein;3;0;0
Liebherr-Elektronik GmbH;Lindau (B);BY;26.51.1;0;0;nein;3;0;0
Liebherr-Hausgeräte Ochsenhausen GmbH;Ochsenhausen;BW;28.25.0;0;0;nein;3;0;0
Liebherr-Hydraulikbagger GmbH;Kirchdorf an der Iller;BW;28.92.2;0;0;nein;3;0;0
Liebherr-MCCtec Rostock GmbH;Rostock;MV;28.22;0;0;nein;3;0;0
Liebherr-Mischtechnik GmbH;Bad Schussenried;BW;28;0;0;nein;3;0;0
Liebherr-Verzahntechnik GmbH;Kempten (Allgäu);BY;28;12661000000;42308;nein;3;0;0
Liebherr-Werk Biberach GmbH;Biberach an der Riß;BW;28.22;0;0;nein;3;0;0
Liebherr-Werk Ehingen GmbH;Ehingen Donau;BW;28.22;12661000000;42308;nein;3;0;0
Lindauer DORNIER Gesellschaft mit beschränkter Haftung;Lindau;BY;28.94;0;0;nein;3;0;0
Linde Material Handling GmbH;Aschaffenburg;BY;46.63.0;0;0;nein;10;2;0
Lindner Hotels Aktiengesellschaft;Düsseldorf;NW;70.10.1;46693794;1168;nein;3;0;0
Litens Automotive GmbH;Gelnhausen;HE;29.32;0;0;nein;0;0;0
LOHMANN & Co. AKTIENGESELLSCHAFT;Rechterfeld;NI;46.32;669942732;1892;nein;3;0;0
Lotto24 AG;Hamburg;HH;26.80.0;0;0;nein;3;0;1
LPKF Laser & Electronics Aktiengesellschaft;Garbsen;NI;70.10.1;128792000;671;nein;3;0;1
LR Health & Beauty Systems GmbH;Ahlen;NW;46.45.0;0;0;nein;0;0;0
LS telcom Aktiengesellschaft;Lichtenau;BW;62.01.9;33042000;255;nein;3;0;1
Lübecker Hafen - Gesellschaft mit beschränkter Haftung;Lübeck;SH;52.1;125605384;615;nein;9;1;0
Ludwig Beck am Rathauseck -Textilhaus Feldmeier Aktiengesellschaft;München;BY;47.19.1;126478000;875;nein;6;2;1
Lufthansa AirPlus Servicekarten GmbH;Neu-Isenburg;HE;82.99;0;0;nein;9;2;0
Lufthansa Cargo Aktiengesellschaft;Frankfurt am Main;HE;52.29.1;0;0;nein;12;4;0
Lufthansa CityLine GmbH;München;BY;52.23.9;0;0;nein;12;3;0
Lufthansa Technik Aktiengesellschaft;Hamburg;HH;52.23.9;0;0;nein;16;5;0
Lufthansa Technik Logistik Services GmbH;Hamburg;HH;52.1;0;0;nein;6;0;0
Lufthansa Technik Maintenance International GmbH;Frankfurt am Main;HE;51.10;0;0;nein;6;0;0
LVM Landwirtschaftlicher Versicherungsverein Münster a. G.;Münster;NW;70.10.1;21402423197;3865;nein;6;1;0
M.M.Warburg & CO (AG & Co.) Kommanditgesellschaft auf Aktien;Hamburg;HH;64.19.1;0;0;nein;3;0;0
M+W Group GmbH;Stuttgart;BW;70.10.1;1656278000;5714;nein;3;0;0
MÄC GEIZ Handelsgesellschaft mbH;Landsberg;ST;46.49;0;0;nein;0;0;0
MAG IAS GmbH;Eislingen;BW;28. Apr;0;0;nein;4;0;0
Magirus GmbH;Ulm;BW;29.2;0;0;nein;6;0;0
Magna Exteriors (Germany) GmbH;Sulzbach;SL;29.2;0;0;nein;6;0;0
Magna Exteriors Systems GmbH;Obertshausen;HE;29.2;0;0;nein;6;0;0
Magna International Stanztechnik GmbH;Salzgitter;NI;29.32;0;0;nein;0;0;0
Magna Seating (Germany) GmbH;Sailauf;BY;29. Mrz;0;0;nein;0;0;0
Magna Spiegelsysteme GmbH;Assamstadt;BW;29. Mrz;0;0;nein;0;0;0
MAHLE GmbH;Stuttgart;BW;29.32;8195149000;76703;nein;20;3;0
Mainova Aktiengesellschaft;Frankfurt am Main;HE;35.1;2715720000;2669;ja;20;5;
Mainzer Volksbank e.G.;Mainz;RP;64.19;0;0;nein;15;4;0
MAN SE;München;BY;29. Jan;20282000000;50336;ja;16;2;
Manitowoc Crane Group Germany GmbH;Wilhelmshaven;NI;30.99;0;0;nein;6;1;0
Mann + Hummel Holding GmbH;Ludwigsburg;BW;70.10.1;3767600000;16607;nein;13;1;0
Mannheimer Versicherung Aktiengesellschaft;Mannheim;BW;65.12.2;0;0;nein;9;3;0
Mannstaedt GmbH;Troisdorf;NW;24. Jan;0;0;nein;6;0;0
manroland sheetfed GmbH;Offenbach am Main;HE;24.51;633478000;4201;nein;3;0;0
manroland web Industriepark GmbH;Augsburg;BY;68.32.1;0;0;nein;0;0;0
Manz AG;Reutlingen;BW;33.20.0;345717000;0;nein;4;0;1
Maquet Cardiopulmonary GmbH;Rastatt;BW;72.19;0;0;nein;6;0;0
MAQUET GmbH;Rastatt;BW;32.50.1;0;0;nein;6;1;0
Marché Mövenpick Deutschland GmbH;Leinfelden-Echterdingen;BW;64.20;0;0;nein;0;0;0
Maritim Hotelgesellschaft mbH;Timmendorfer Strand;SH;70.10.1;0;0;nein;12;5;0
MARNA Beteiligungen AG;Hamburg;HH;46.69.1;226250162;104;nein;3;1;1
Marquardt GmbH;Rietheim-Weilheim;BW;26. Nov;0;0;nein;3;0;0
Marsh GmbH;Frankfurt am Main;HE;66.22.0;0;0;nein;3;0;0
Maschinenfabrik Berthold Hermle Aktiengesellschaft;Gosheim;BW;28.41;366326000;1147;nein;6;1;1
mateco GmbH;Stuttgart;BW;77.32;0;0;nein;0;0;0
Materna Information & Communications SE;Dortmund;NW;96;124424912;1705;nein;0;0;0
MATERNUS-Kliniken-Aktiengesellschaft;Berlin (Charlottenburg);BE;87.1;111001000;1910;ja;12;2;
MAX Automation AG;Düsseldorf;NW;82.99.9;306331000;1549;nein;3;0;1
MBB SE;Berlin;BE;64.20.0;725657000;2137;nein;4;0;1
MBDA Deutschland GmbH;Schrobenhausen;BY;26.51.2;719675000;1226;nein;3;0;0
MC Familiengesellschaft mbH;Tutzing;BY;71.12.2;2147500000;11373;nein;0;0;0
McKesson Europe AG;Stuttgart;BW;46.46.1;8081800000;34155;nein;12;4;0
MEDIAN West GmbH;Berlin;BE;86.10.1;151088220;2642;nein;12;3;0
MEGA eG;Hamburg;HH;46.73.4;263905342;1337;nein;12;1;0
Mercedes-Benz Bank AG;Stuttgart;BW;64.19;0;0;nein;12;2;0
Mercedes-Benz Bank Service Center GmbH;Berlin;BE;64.99;0;0;nein;3;2;0
Mercer Deutschland GmbH;Frankfurt am Main;HE;70.22;0;0;nein;3;0;0
Messe Berlin GmbH;Berlin;BE;82.3;277389000;874;nein;15;5;0
Messe Düsseldorf GmbH;Düsseldorf;NW;82.3;626978247;1020;nein;20;6;0
Messe München GmbH;München;BY;82.3;1121778162;1095;nein;18;4;0
METRO AG;Düsseldorf;NW;82.99.9;15779000000;115008;nein;20;8;1
METRO AG;Düsseldorf;NW;46;15779000000;151777;ja;20;5;
MHM Holding Gesellschaft mit beschränkter Haftung;Kirchheim;BY;70.10.1;609854579;3990;nein;3;0;0
MICHELIN REIFENWERKE AG & Co. Kommanditgesellschaft auf Aktien;Karlsruhe;BW;22. Nov;0;0;nein;12;3;0
Microsoft Deutschland GmbH;München;BY;46.51;0;0;nein;0;0;0
Miltenyi Biotec GmbH;Bergisch Gladbach;NW;32.50.1;325994000;1851;nein;0;0;0
Mitsubishi Hitachi Power Systems Europe GmbH;Duisburg;NW;28.99;5481927;0;nein;6;0;0
Mitteldeutsche Braunkohlengesellschaft mbH;Zeitz;ST;70.10.1;0;0;nein;11;0;0
Mitteldeutsche Netzgesellschaft Strom mbH;Halle/Saale;ST;35.1;0;0;nein;9;2;0
Mologen AG;Berlin;BE;72.1;0;0;nein;3;0;1
MorphoSys AG;Planegg;BY;72.1;538763757;327;nein;6;2;1
Mr. Wash Autoservice AG;Essen;NW;70.10.9;0;0;nein;3;1;0
msg life ag;Leinfelden-Echterdingen;BW;26.20.0;103578531;970;nein;3;0;0
msg systems AG;Ismaning;BY;26.20.0;0;0;nein;12;1;0
MTD Products Aktiengesellschaft;Saarbrücken;SL;28. Mrz;0;0;nein;6;0;0
MTU Aero Engines AG;München;BY;30.0.0;6049500000;8133;ja;12;2;
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München;München;BY;65.2;2,66E+11;19960;ja;20;8;
Münchener VEREIN Krankenversicherung a. G.;München;BY;65.12.1;6976598476;699;nein;12;1;0
MVV  Energie AG;Mannheim;BW;35.13;4712888000;5727;ja;20;4;
N-ERGIE Aktiengesellschaft;Nürnberg;BY;35.1;2195290000;2447;nein;20;5;0
Nassauische Heimstätte Wohnungs- und Entwicklungsgesellschaft mit beschränkter Haftung;Frankfurt am Main;HE;41.10.3;2233723314;723;nein;21;4;0
National-Bank Aktiengesellschaft;Essen;NW;64.19;0;0;nein;9;3;0
Nestlé Deutschland Aktiengesellschaft;Frankfurt am Main;HE;Okt 89;0;0;nein;14;5;0
NetCologne Gesellschaft für Telekommunikation mit beschränkter Haftung;Köln;NW;61.10.0;0;0;nein;15;0;0
Netzgesellschaft Düsseldorf mbH;Düsseldorf;NW;35.1;0;0;nein;6;0;0
Nintendo of Europe GmbH;Frankfurt am Main;HE;70.21;0;0;nein;0;0;0
NKD Deutschland GmbH;Bindlach;BY;46.90;0;0;nein;0;0;0
Nokia Solutions and Networks GmbH & Co. KG;München;BY;26. Mrz;0;0;nein;6;2;0
Nordex SE;Rostock;MV;70.10.1;3058536000;5385;nein;6;1;1
Nordland Papier GmbH;Dörpen;NI;17. Dez;0;0;nein;3;0;0
NORDWEST Handel AG;Dortmund;NW;66.19.0;234509000;349;nein;6;0;1
NordWestBahn GmbH (NWB);Osnabrück;NI;49.39.9;0;0;nein;0;0;0
Nordzucker AG;Braunschweig;NI;Okt 81;2182500000;3234;nein;15;3;0
Nordzucker Holding AG;Braunschweig;NI;64.20;2117437000;3236;nein;21;1;0
Novar GmbH;Albstadt;BW;46.69.2;0;0;nein;6;2;0
Novelis Deutschland GmbH;Göttingen;NI;24.42;8310000000;11970;nein;12;1;0
NOWEDA Apothekergenossenschaft eG;Essen;NW;46.46.2;1291823000;2706;nein;9;3;0
NÜRNBERGER Allgemeine Versicherungs-Aktiengesellschaft;Nürnberg;BY;65.2;0;0;nein;12;2;0
Nürnberger Beteiligungs- Aktiengesellschaft;Nürnberg;BY;70.10.1;30926448111;4187;nein;12;2;0
Nürnberger Lebensversicherung Aktiengesellschaft;Nürnberg;BY;65.11;0;0;nein;12;4;0
octeo MULTISERVICES GmbH;Duisburg;NW;81.21;0;0;nein;15;4;0
Open Grid Europe GmbH;Essen;NW;35;0;0;nein;6;0;0
Orsay GmbH;Willstätt;BW;14.13.1;0;0;nein;0;0;0
OSB AG Ingenieur- und IT-Dienstleistungen;München;BY;71.12.9;0;0;nein;3;0;0
OSRAM GmbH;München;BY;27.90;0;0;nein;12;4;0
OSRAM Licht AG;München;BY;27.40.0;4238000000;25934;ja;12;2;
OSRAM Opto Semiconductors Gesellschaft mit beschränkter Haftung;Regensburg;BY;27.90.0;0;0;nein;12;4;0
OTTO Aktiengesellschaft für Beteiligungen;Hamburg;HH;70.10;9221550000;51789;nein;3;0;0
Ottobock SE & Co. KGaA;Duderstadt;NI;46.46.2;0;0;nein;10;4;0
Outokumpu Nirosta GmbH;Krefeld;NW;25.99.3;0;0;nein;16;4;0
PAION AG;Aachen;NW;72.11.0;24323413;39;nein;5;2;1
Panalpina Welttransport (Deutschland) GmbH;Mörfelden-Walldorf;HE;52.29.9;0;0;nein;6;1;0
Panasonic Electric Works Europe AG;Ottobrunn;BY;26.51.2;0;0;nein;6;0;0
Panasonic Industry Europe GmbH;Langen (Hessen);HE;0;0;0;nein;6;0;0
Panasonic Industry Europe GmbH;Ottobrunn;BY;46.52.0;0;0;nein;6;0;0
Papierfabrik August Koehler SE;Oberkirch;BW;46.49.4;706516449;1748;nein;6;0;0
Paracelsus-Kliniken Deutschland GmbH & Co. KGaA;Osnabrück;NI;86.10.1;405962471;5416;nein;11;5;0
paragon GmbH & Co. KGaA;Delbrück;NW;96.09;311847000;808;nein;3;0;0
PAREXEL International GmbH;Berlin;BE;82.99;0;0;nein;0;0;0
Parker Hannifin GmbH;Bielefeld;NW;28.22;0;0;nein;12;2;0
PATRIZIA Immobilien AG;Augsburg;BY;70.10.9;1778446000;856;nein;3;0;1
PAUL HARTMANN AG;Heidenheim an der Brenz;BW;46.45.0;1431969000;10616;nein;12;3;0
PCK Raffinerie GmbH;Schwedt/Oder;BR;09.10.2000;0;0;nein;6;1;0
PEH Wertpapier AG;Frankfurt am Main;HE;66.30.0;46216293;113;nein;3;0;1
Pelikan Aktiengesellschaft;Berlin;BE;17.23;342560414;1767;nein;6;1;1
Pelikan Group GmbH;Berlin;BE;64.20;339125184;1652;nein;0;0;0
Pentair Germany GmbH;Straubenhardt;BW;70.10.1;510649000;1595;nein;0;0;0
Pepperl + Fuchs GmbH;Mannheim;BW;26.51.2;558716000;6088;nein;3;0;0
Peter Kattenbeck Gesellschaft mit beschränkter Haftung;Nürnberg;BY;81.21;0;0;nein;0;0;0
PFALZWERKE AKTIENGESELLSCHAFT;Ludwigshafen am Rhein;RP;35.14;1295432000;1047;nein;12;1;0
PFW Aerospace GmbH;Speyer;RP;30. Mrz;344935000;1962;nein;9;1;0
Phicomm AG;Unterhaching;BY;58;0;0;nein;3;1;1
Philip Morris Gesellschaft mit beschränkter Haftung;Gräfelfing;BY;12;0;0;nein;12;3;0
Philip Morris Manufacturing GmbH;Gräfelfing;BY;12;0;0;nein;3;1;0
Philips GmbH;Hamburg;HH;64.2;1064807000;4266;nein;12;4;0
Pieroth Wein AG;Burg-Layen;RP;11. Feb;205159;4254;nein;6;0;0
Pilkington Automotive Deutschland GmbH;Witten;NW;43.34.2;0;0;nein;6;0;0
Pilkington Deutschland AG;Gelsenkirchen;NW;43.34.2;0;0;nein;6;2;0
PIRELLI DEUTSCHLAND GmbH;Breuberg;HE;66;0;0;nein;12;0;0
PNE AG;Cuxhaven;NI;70.10.9;452606000;366;nein;6;1;1
Postcon Regional Rhein-Ruhr GmbH;Ratingen;NW;53.10.0;0;0;nein;0;0;0
Preh GmbH;Bad Neustadt a.d.Saale;BY;26.51.2;938932000;6931;nein;12;2;0
PreussenElektra GmbH;Hannover;NI;35.11.2;0;0;nein;12;2;0
PricewaterhouseCoopers GmbH Wirtschaftsprüfungsgesellschaft;Frankfurt am Main;HE;69.20;1561735769;11145;nein;12;4;0
Procter & Gamble GmbH;Schwalbach am Taunus;HE;20.41;0;0;nein;0;0;0
Procter & Gamble Manufacturing Berlin GmbH;Berlin;BE;25. Nov;0;0;nein;0;0;0
Procter & Gamble Manufacturing GmbH;Schwalbach am Taunus;HE;20.41;0;0;nein;12;5;0
Procter & Gamble Service GmbH;Schwalbach am Taunus;HE;28.29;0;0;nein;12;4;0
profine GmbH;Troisdorf;NW;22.29;0;0;nein;9;0;0
Progress-Werk Oberkirch Aktiengesellschaft;Oberkirch;BW;46.72.2;405607000;2790;nein;6;0;1
Provinzial Nord Brandkasse Aktiengesellschaft;Kiel;SH;65.12.2;0;0;nein;21;2;0
Provinzial NordWest Holding Aktiengesellschaft;Münster;NW;65.1;26614161000;3121;nein;20;6;0
Provinzial Rheinland Lebensversicherung AG Die Versicherung der Sparkassen;Düsseldorf;NW;65.11;0;0;nein;18;5;0
Provinzial Rheinland Versicherung AG Die Versicherung der Sparkassen;Düsseldorf;NW;65.12.2;0;0;nein;18;5;0
PSI Software AG;Berlin;BE;46.52.0;194010000;1641;nein;6;1;1
PUMA SE;Herzogenaurach;BY;46.42;3207200000;12192;nein;6;1;1
QSC AG;Köln;NW;61.10.0;283595000;1306;nein;6;2;1
R + V LEBENSVERSICHERUNG AKTIENGESELLSCHAFT;Wiesbaden;HE;65.1;0;0;nein;16;2;0
R. Stahl Aktiengesellschaft;Waldenburg;BW;46.52.0;227932000;1724;nein;9;2;1
R+V Allgemeine Versicherung Aktiengesellschaft;Wiesbaden;HE;65.1;0;0;nein;16;2;0
R+V VERSICHERUNG AG;Wiesbaden;HE;70.10.1;1,04E+11;13268;nein;16;3;0
RAG AKTIENGESELLSCHAFT;Essen;NW;05. Okt;0;0;nein;21;4;0
RAG Anthrazit Ibbenbüren GmbH;Ibbenbüren;NW;05. Jan;0;0;nein;11;0;0
Raiffeisen Waren GmbH;Kassel;HE;46.69.3;486061132;2232;nein;16;5;0
Ratiodata GmbH;Frankfurt am Main;HE;82.91.2;0;0;nein;12;0;0
RATIONAL Aktiengesellschaft;Landsberg am Lech;BY;77.29.0;604440000;2042;nein;6;0;1
Regio Kliniken GmbH;Elmshorn;SH;86.1;0;0;nein;12;3;0
regiobus Hannover GmbH;Hannover;NI;49.39.9;0;0;nein;15;3;0
Reich Consulting GmbH;Mellrichstadt;BY;70.22;93579224;1028;nein;0;0;0
Reichold Feinkost GmbH;Diez;RP;46.38.9;0;0;nein;0;0;0
REINZ-Dichtungs-GmbH;Neu-Ulm;BY;43.99.9;0;0;nein;3;0;0
Reischmann GmbH & Co. KGaA;Ravensburg;BW;46.42;0;0;nein;2;0;0
ReiseBank Aktiengesellschaft;Frankfurt am Main;HE;66.19;0;0;nein;6;1;0
RENAFAN GmbH;Berlin;BE;88.10.1;0;0;nein;0;0;0
Renault Deutschland AG;Brühl;NW;45.11;1,02E+11;120136;nein;6;0;0
Renk Aktiengesellschaft;Augsburg;BY;29.32.0;699997000;2112;ja;0;0;
REWE - Zentral-Aktiengesellschaft;Köln;NW;47.19.2;1813400000;2287;nein;18;2;0
REWE DORTMUND Großhandel eG;Dortmund;NW;64.2;261779746;1476;nein;11;1;0
REWE Group Buying GmbH;Köln;NW;46.3;0;0;nein;0;0;0
REWE-ZENTRALFINANZ eG;Köln;NW;64.92.1;19462500000;216327;nein;20;3;0
Rhein-Neckar-Verkehr GmbH;Mannheim;BW;49.39.9;0;0;nein;20;3;0
Rheinbahn AG;Düsseldorf;NW;49.31;0;0;nein;16;2;0
RheinEnergie AG;Köln;NW;35;0;0;nein;20;3;0
RheinLand Holding Aktiengesellschaft;Neuss;NW;70.10.1;1659951771;781;nein;6;1;0
Rheinmetall Aktiengesellschaft;Düsseldorf;NW;45.1;6186000000;11536;ja;16;2;
Rheinmetall Automotive AG;Neckarsulm;BW;70.10.1;0;0;nein;12;3;0
Rheinmetall MAN Military Vehicles GmbH;München;BY;71.12.2;0;0;nein;6;0;0
RHÖN-KLINIKUM Aktiengesellschaft;Schweinfurt;BY;68.32;173119000;16486;ja;20;4;
RHÖN-Reinigungsgesellschaft mbH;Bad Neustadt a.d.Saale;BY;96.09.0;0;0;nein;0;0;0
Robert Bosch Gesellschaft mit beschränkter Haftung;Stuttgart;BW;27.90.0;81870000000;402619;nein;20;4;0
Roche Diabetes Care GmbH;Mannheim;BW;46.46.2;0;0;nein;3;1;0
Roche Diagnostics Deutschland GmbH;Mannheim;BW;73.11;0;0;nein;3;1;0
Roche Diagnostics GmbH;Mannheim;BW;21. Feb;0;0;nein;16;3;0
ROCHE PHARMA AKTIENGESELLSCHAFT;Grenzach-WyhIen;BW;72.19.0;0;0;nein;3;1;0
Rocket Internet SE;Berlin;BE;70.10.1;4112100000;481;nein;4;0;1
Rodenstock GmbH;München;BY;26.70.0;0;0;nein;6;1;0
Rosenthal GmbH;Selb;BY;31.09.9;0;0;nein;3;1;0
ROTO FRANK Aktiengesellschaft;Leinfelden-Echterdingen;BW;16.23;434200427;4645;nein;6;1;0
RUAG Ammotec GmbH;Fürth;BY;46.49;0;0;nein;6;0;0
Ruhr Oel GmbH;Gelsenkirchen;NW;19. Feb;0;0;nein;12;2;0
RÜTGERS Germany GmbH;Castrop-Rauxel;NW;20;290587000;649;nein;12;3;0
Rutronik Elektronische Bauelemente GmbH;Ispringen;BW;26.11.2009;319962950;1465;nein;0;0;0
RWE Aktiengesellschaft;Essen;NW;35;69059000000;59333;ja;20;3;
RWE Generation SE;Essen;NW;35;0;0;nein;20;2;0
RWE Power Aktiengesellschaft;Köln und Essen;NW;05. Feb;0;0;nein;20;1;0
RWE Supply & Trading GmbH;Essen;NW;35.11;0;0;nein;9;2;0
S-Servicepartner Berlin GmbH;Berlin;BE;66.19;0;0;nein;6;1;0
S&G Automobil AG;Karlsruhe;BW;45.11;0;0;nein;3;0;0
SAF-HOLLAND GmbH;Bessenbach;BY;29. Mrz;998108000;3565;nein;3;1;0
Safari Holding GmbH;Bingen am Rhein;RP;64.20;533467000;2347;nein;0;0;0
SAG Vermögensverwaltung GmbH;Langen (Hessen);HE;64.2;1238984000;8005;nein;0;0;0
Salamander Industrie-Produkte GmbH;Türkheim (Bayern);BY;25.12.2000;111605932;1302;nein;6;0;0
Salzgitter Aktiengesellschaft;Braunschweig;NI;24. Jan;8449800000;23413;ja;21;4;
Sana HANSE-Klinikum Wismar GmbH;Wismar;MV;70.10;0;0;nein;9;5;0
Sana Kliniken Berlin-Brandenburg GmbH;Berlin;BE;70.10;0;0;nein;6;2;0
Sana Kliniken Ostholstein GmbH;Eutin;SH;70.10;0;0;nein;6;4;0
Sana Klinikum Hof GmbH;Hof;BY;86.10;0;0;nein;6;1;0
Sana-Klinikum Remscheid GmbH;Remscheid;NW;86.10;0;0;nein;9;3;0
Sanacorp eG Pharmazeutische Großhandlung;Planegg;BY;21. Jan;977208000;2733;nein;16;4;0
Sanacorp Pharmahandel GmbH;Planegg;BY;21. Jan;0;0;nein;16;4;0
Sanofi-Aventis Deutschland GmbH;Frankfurt am Main;HE;46.46.2;99826000000;0;nein;12;2;0
Santander Consumer Bank Aktiengesellschaft;Mönchengladbach;NW;64.19;0;0;nein;12;6;0
SAP SE;Mannheim;BW;63.1;42497000000;86999;ja;18;4;
Sappi Stockstadt GmbH;Stockstadt;BY;17. Dez;0;0;nein;3;0;0
Sartorius Aktiengesellschaft;Göttingen;NI;46.46.1;2297720000;7379;ja;12;3;
Sartorius Stedim Biotech GmbH;Göttingen;NI;0;0;0;nein;3;0;0
SCHACHTBAU NORDHAUSEN GmbH;Nordhausen;TH;25. Dez;0;0;nein;3;0;0
Schaeffler AG;Fürth;BY;26.20;11537000000;88697;ja;0;0;
Schaltbau Holding AG;München;BY;27.12.2000;396780000;2718;nein;6;1;1
Scheidt & Bachmann GmbH;Mönchengladbach;NW;26.20.0;333732808;2968;nein;6;0;0
SCHIESSER AG;Radolfzell am Bodensee;BW;14.19;0;0;nein;3;0;0
Schleswig-Holstein Netz AG;Quickborn/Krs. Pinneberg;SH;35.13;0;0;nein;12;0;0
Schneider Electric Sachsenwerk GmbH;Regensburg;BY;28.92.2;0;0;nein;6;2;0
SCHOTT AG;Mainz;RP;23.19;2350807000;14820;nein;12;1;0
SCHUFA Holding AG;Wiesbaden;HE;66;0;0;nein;9;0;0
Schuler Aktiengesellschaft;Göppingen;BW;82.3;6265348000;25404;nein;12;4;0
Schuler Pressen GmbH;Göppingen;BW;28.92.2;0;0;nein;12;6;0
Schuller GmbH;Wertheim;BW;23.19.0;0;0;nein;3;1;0
Schwäbisch Hall Kreditservice GmbH;Schwäbisch Hall;BW;66.19.0;0;0;nein;12;3;0
Schwing GmbH;Herne;NW;28.92.2;0;0;nein;3;0;0
Scout24 AG;München;BY;64.2;2464688000;1552;nein;6;2;1
secunet Security Networks Aktiengesellschaft;Essen;NW;62.02.0;145209400;567;nein;6;0;1
SEISSENSCHMIDT GmbH;Plettenberg;NW;46.74.1;0;0;nein;3;0;0
Sempell GmbH;Korschenbroich;NW;28.14;0;0;nein;3;1;0
Serval Gebäudemanagement und Industrietechnik GmbH;Zwickau;SN;81.21.0;0;0;nein;0;0;0
Service Gesellschaft Sozialstiftung Bamberg mbH;Bamberg;BY;88.10.1;0;0;nein;3;0;0
SEVEN PRINCIPLES AG;Köln;NW;26.20.0;30988404;507;nein;3;0;0
SGL Carbon SE;Wiesbaden;HE;23.99.0;1541700000;4028;ja;12;3;
SGS INSTITUT FRESENIUS GmbH;Taunusstein;HE;71.20.0;0;0;nein;3;0;0
SHBB Steuerberatungsgesellschaft mbH;Kiel;SH;69.20.3;29915596;1075;nein;6;2;0
Shell Deutschland Oil GmbH;Hamburg;HH;19. Feb;0;0;nein;12;3;0
SHW AG;Aalen;BW;25;286794000;1572;nein;9;0;1
SICK AG;Waldkirch;BW;26.51.1;1066201000;8162;nein;12;1;0
Siegwerk Druckfarben AG & Co. KGaA;Siegburg;NW;20.30.0;0;0;nein;3;0;0
Siemens Aktiengesellschaft;München;BY;27.90;1,34E+11;363000;ja;20;6;
Siemens Healthcare Diagnostics Products GmbH;Marburg;HE;26.60.0;0;0;nein;3;0;0
Siemens Healthcare GmbH;München;BY;70.10.9;0;0;nein;16;4;0
Siemens Mobility GmbH;München;BY;72;0;0;nein;16;5;0
SIG Combibloc GmbH;Linnich;NW;17. Dez;0;0;nein;6;0;0
Sika Holding GmbH;Stuttgart;BW;70.10;273731293;1736;nein;6;1;0
Siltronic AG;München;BY;27.90;1252400000;2298;ja;0;0;
SIMONA Aktiengesellschaft;Kirn/Nahe;RP;22. Feb;400894000;1327;nein;6;0;1
Singulus Technologies Aktiengesellschaft;Kahl am Main;BY;28.29;104100000;327;nein;3;1;1
Sivantos GmbH;Erlangen;BY;26.60.0;0;0;nein;3;0;0
Sixt Leasing SE;Pullach i.Isartal;BY;64.91.0;1392691000;591;nein;3;0;1
Sixt SE;Pullach i.Isartal;BY;77.1;5193307000;7540;nein;3;0;1
SKF GmbH;Schweinfurt;BY;28.15;83907000000;43508;nein;12;0;0
SKW Stickstoffwerke Piesteritz GmbH;Lutherstadt Wittenberg;ST;20.59;0;0;nein;6;1;0
SMA Solar Technology AG;Kassel;HE;62.01.9;1216208000;2077;ja;12;1;
Smurfit Kappa GmbH;Hamburg;HH;17.21;0;0;nein;12;2;0
SNP Schneider-Neureither & Partner SE;Heidelberg;BW;70.22;151765796;1289;nein;4;0;1
SNT Deutschland AG;Frankfurt am Main;HE;82.20.0;0;0;nein;12;4;0
Software Aktiengesellschaft;Darmstadt;HE;46.51.0;2007904000;4686;nein;6;1;1
Sol Meliá Deutschland GmbH;Ratingen;NW;55.10.1;0;0;nein;6;2;0
Solvay Chemicals GmbH;Hannover;NI;46.75.0;0;0;nein;6;1;0
SONA AutoComp Germany GmbH;München;BY;70.10.1;128788000;1335;nein;9;0;0
